-5.0,(0.0002519745490309146+0j)
-4.99,(0.0002622447128901881+0j)
-4.98,(0.0002729061836532008+0j)
-4.97,(0.0002839726942415323+0j)
-4.96,(0.00029545841120016806+0j)
-4.95,(0.00030737794650028864+0j)
-4.94,(0.00031974636959284953+0j)
-4.93,(0.00033257921971574+0j)
-4.92,(0.0003458925184572006+0j)
-4.91,(0.0003597027825781468+0j)
-4.9,(0.0003740270370959159+0j)
-4.89,(0.00038888282863191374+0j)
-4.88,(0.00040428823902552213+0j)
-4.87,(0.00042026189921655447+0j)
-4.86,(0.00043682300339841005+0j)
-4.85,(0.00045399132344401343+0j)
-4.84,(0.0004717872236064715+0j)
-4.83,(0.0004902316754963098+0j)
-4.82,(0.0005093462733369628+0j)
-4.81,(0.0005291532495001217+0j)
-4.8,(0.0005496754903223571+0j)
-4.79,(0.0005709365522043416+0j)
-4.78,(0.0005929606779937741+0j)
-4.77,(0.0006157728136530266+0j)
-4.76,(0.0006393986252123097+0j)
-4.75,(0.0006638645160090288+0j)
-4.74,(0.0006891976442137701+0j)
-4.73,(0.000715425940643226+0j)
-4.72,(0.0007425781268601335+0j)
-4.71,(0.0007706837335601075+0j)
-4.7,(0.0007997731192450789+0j)
-4.69,(0.0008298774891827576+0j)
-4.68,(0.000861028914651386+0j)
-4.67,(0.0008932603524687657+0j)
-4.66,(0.000926605664804369+0j)
-4.65,(0.0009610996392729841+0j)
-4.64,(0.0009967780093082118+0j)
-4.63,(0.0010336774748137662+0j)
-4.62,(0.0010718357230903625+0j)
-4.61,(0.0011112914500355517+0j)
-4.6,(0.0011520843816137329+0j)
-4.59,(0.0011942552955931315+0j)
-4.58,(0.0012378460435463698+0j)
-4.57,(0.0012828995731107712+0j)
-4.56,(0.0013294599505043949+0j)
-4.55,(0.0013775723832933032+0j)
-4.54,(0.001427283243405391+0j)
-4.53,(0.0014786400903855665+0j)
-4.52,(0.0015316916948868971+0j)
-4.51,(0.0015864880623918298+0j)
-4.5,(0.0016430804571573455+0j)
-4.49,(0.0017015214263773847+0j)
-4.48,(0.0017618648245556108+0j)
-4.47,(0.001824165838081132+0j)
-4.46,(0.0018884810099993438+0j)
-4.45,(0.0019548682649697968+0j)
-4.4399999999999995,(0.0020233869344023405+0j)
-4.43,(0.002094097781762548+0j)
-4.42,(0.0021670630280369607+0j)
-4.41,(0.0022423463773481264+0j)
-4.4,(0.002320013042709098+0j)
-4.39,(0.0024001297719064953+0j)
-4.38,(0.0024827648735008005+0j)
-4.37,(0.0025679882429321538+0j)
-4.36,(0.0026558713887192375+0j)
-4.35,(0.002746487458738553+0j)
-4.34,(0.00283991126657078+0j)
-4.33,(0.0029362193179004984+0j)
-4.32,(0.0030354898369548836+0j)
-4.31,(0.0031378027929666566+0j)
-4.3,(0.00324323992664591+0j)
-4.29,(0.0033518847766450532+0j)
-4.28,(0.0034638227060003594+0j)
-4.27,(0.0035791409285333476+0j)
-4.26,(0.0036979285351943984+0j)
-4.25,(0.0038202765203308063+0j)
-4.24,(0.003946277807860514+0j)
-4.23,(0.004076027277332607+0j)
-4.22,(0.0042096217898548345+0j)
-4.21,(0.004347160213867949+0j)
-4.2,(0.004488743450746297+0j)
-4.1899999999999995,(0.004634474460203068+0j)
-4.18,(0.0047844582854784865+0j)
-4.17,(0.0049388020782886455+0j)
-4.16,(0.005097615123511736+0j)
-4.15,(0.005261008863588304+0j)
-4.14,(0.005429096922611413+0j)
-4.13,(0.005601995130081957+0j)
-4.12,(0.005779821544304131+0j)
-4.11,(0.0059626964753950506+0j)
-4.1,(0.006150742507882365+0j)
-4.09,(0.006344084522862908+0j)
-4.08,(0.0065428497196952425+0j)
